epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3753.93,0.80365,0.53331,0.99381,0.92637,0.92371,0.9382,0.65355,1.05505,0.4591,1.09229,0.00058175,0.00058175,0.00058175
56,3821.65,0.79546,0.52881,0.98284,0.94026,0.92705,0.94359,0.66223,1.03766,0.45045,1.08335,0.000569375,0.000569375,0.000569375
57,3891.05,0.79606,0.52399,0.98777,0.92681,0.92793,0.94024,0.65666,1.03177,0.45423,1.07894,0.000557,0.000557,0.000557
58,3958.7,0.79041,0.51791,0.98311,0.9328,0.92951,0.9434,0.65337,1.05124,0.45444,1.0864,0.000544625,0.000544625,0.000544625
59,4029.2,0.77466,0.51681,0.97631,0.92373,0.92868,0.93937,0.65621,1.05289,0.46462,1.08948,0.00053225,0.00053225,0.00053225
60,4096.73,0.77949,0.51795,0.97993,0.93344,0.92296,0.93947,0.64851,1.07634,0.45628,1.10986,0.000519875,0.000519875,0.000519875
61,4166.68,0.77114,0.50929,0.97282,0.93056,0.91325,0.93677,0.64855,1.05882,0.45845,1.09625,0.0005075,0.0005075,0.0005075
62,4234.39,0.7587,0.50812,0.97019,0.93339,0.92113,0.9407,0.65962,1.04138,0.45264,1.08974,0.000495125,0.000495125,0.000495125
63,4303.6,0.76339,0.50751,0.97382,0.93162,0.91628,0.93268,0.64564,1.05005,0.46191,1.09772,0.00048275,0.00048275,0.00048275
64,4371.67,0.76981,0.50981,0.97479,0.92789,0.92888,0.94196,0.65583,1.04159,0.4467,1.08887,0.000470375,0.000470375,0.000470375
65,4441.23,0.75592,0.50344,0.96865,0.93773,0.92571,0.94266,0.65267,1.0495,0.44451,1.09449,0.000458,0.000458,0.000458
66,4509.43,0.75984,0.50096,0.96972,0.93016,0.93134,0.93928,0.66724,1.00595,0.4304,1.06372,0.000445625,0.000445625,0.000445625
67,4578.72,0.76375,0.50785,0.97657,0.93275,0.92669,0.93926,0.65917,1.04567,0.44603,1.08854,0.00043325,0.00043325,0.00043325
68,4647.04,0.75148,0.49864,0.96765,0.92529,0.92973,0.93818,0.651,1.06095,0.44675,1.10456,0.000420875,0.000420875,0.000420875
69,4714.71,0.73795,0.48832,0.96382,0.9199,0.93578,0.94028,0.65757,1.04152,0.44615,1.08598,0.0004085,0.0004085,0.0004085
70,4783.72,0.75563,0.48931,0.96964,0.93385,0.9257,0.9402,0.66045,1.03455,0.43842,1.0915,0.000396125,0.000396125,0.000396125
71,4850.84,0.7539,0.49261,0.97219,0.94205,0.91158,0.93446,0.65181,1.04803,0.46048,1.09431,0.00038375,0.00038375,0.00038375
72,4920.8,0.74652,0.49127,0.96747,0.9403,0.91771,0.93811,0.65618,1.0387,0.43902,1.09578,0.000371375,0.000371375,0.000371375
73,4988.86,0.73474,0.47796,0.96598,0.9461,0.91198,0.93892,0.65447,1.05339,0.44812,1.10552,0.000359,0.000359,0.000359
74,5058.24,0.74567,0.48766,0.96324,0.93003,0.92496,0.94163,0.65683,1.02504,0.44055,1.08739,0.000346625,0.000346625,0.000346625
75,5126.36,0.72879,0.47646,0.95552,0.93612,0.92101,0.94015,0.65648,1.04463,0.4395,1.09761,0.00033425,0.00033425,0.00033425
76,5194.98,0.7479,0.48861,0.96979,0.93804,0.92822,0.93843,0.65064,1.05958,0.43896,1.10029,0.000321875,0.000321875,0.000321875
77,5264.94,0.73623,0.47981,0.96135,0.93568,0.92692,0.93979,0.66022,1.02468,0.43716,1.08388,0.0003095,0.0003095,0.0003095
78,5333.7,0.73638,0.48237,0.9618,0.93862,0.92284,0.93925,0.66566,1.01384,0.43418,1.07713,0.000297125,0.000297125,0.000297125
